1,Chicago Time: 2016-11-22 04:51:35pm,male,24-30,Computer Science,4,spreadsheets;DataAnalysisLanguage
2,Chicago Time: 2016-11-25 11:10:44am,female,18-23,computer science,4,spreadsheets;DataAnalysisLanguage
3,Chicago Time: 2016-11-27 05:24:17pm,female,18-23,Physics,3,spreadsheets;DataAnalysisLanguage
4,Chicago Time: 2016-11-28 11:12:06am,female,31-36,Beckman,5,spreadsheets;DataAnalysisLanguage
5,Chicago Time: 2016-11-28 01:31:01pm,male,18-23,Computer Science,3,spreadsheets;DataAnalysisLanguage
6,Chicago Time: 2016-11-28 04:34:38pm,female,31-36,Computer Science,4,spreadsheets;DataAnalysisLanguage
7,Chicago Time: 2016-11-28 05:22:11pm,female,18-23,N/A,3,spreadsheets;BI
8,Chicago Time: 2016-11-29 01:46:25pm,female,24-30,Computer Science,4,spreadsheets;DataAnalysisLanguage
9,Chicago Time: 2016-11-30 09:25:13am,female,18-23,Computer Science,3,DataAnalysisLanguage
10,Chicago Time: 2016-11-30 03:40:29pm,female,18-23,Industrial Engineering,5,spreadsheets;DataAnalysisLanguage
11,Chicago Time: 2016-11-30 04:47:41pm,female,18-23,ISE,4,spreadsheets;DataAnalysisLanguage
12,Chicago Time: 2016-12-01 11:15:19am,male,24-30,electrical and computer engineering,2,DataAnalysisLanguage
13,Chicago Time: 2016-12-01 04:42:05pm,female,18-23,Social Work,3,spreadsheets
14,Chicago Time: 2016-12-02 04:55:47pm,female,18-23,Mechanical Engineering major,4,spreadsheets;DataAnalysisLanguage
15,Chicago Time: 2016-12-02 05:30:04pm,male,18-23,Computer Science,4,spreadsheets;DataAnalysisLanguage
16,Chicago Time: 2016-12-02 06:00:02pm,male,24-30,Computer Science,4,spreadsheets;DataAnalysisLanguage;BI
17,Chicago Time: 2016-12-07 11:25:33am,female,31-36,College of LAS,3,spreadsheets;other-Google Analytics
