datasetName,queryName,corrEachPairSum,corrCenterSum,vectorVariance
50words,centroid1,2.2182,3.0229,85.6
50words,centroid2,1.9725,2.9587,146.1
50words,centroid3,-1.5253,1.2674,262.2
50words,centroid4,-0.25495,1.9648,233.3
50words,centroid6,-1.5824,1.2359,210.8
50words,centroid7,1.6923,2.7642,151.2
50words,centroid8,0.72088,2.4383,211.1
ToeSegmentation2,centroid1,-0.33571,2.0161,289.4
ToeSegmentation2,centroid2,-1.1036,1.5498,310.9
uWaveGestureLibrary_X,centroid3,0.42198,2.3978,217.9
uWaveGestureLibrary_X,centroid4,1.2396,2.6821,199.3
uWaveGestureLibrary_X,centroid5,1.7179,2.7756,231.9
uWaveGestureLibrary_X,centroid6,0.16429,2.2893,275.4
uWaveGestureLibrary_Y,centroid1,-0.32967,2.0661,188
uWaveGestureLibrary_Y,centroid3,1.4462,2.7085,194.6
uWaveGestureLibrary_Y,centroid4,-0.32088,1.9603,234.8
uWaveGestureLibrary_Y,centroid5,-0.41209,1.6717,189.5
uWaveGestureLibrary_Y,centroid7,-0.42637,1.9956,237.2
uWaveGestureLibrary_Y,centroid8,-0.625,1.828,297.5
uWaveGestureLibrary_Z,centroid1,0.65055,2.4462,212.7
uWaveGestureLibrary_Z,centroid2,0.50989,2.4234,215.9
uWaveGestureLibrary_Z,centroid3,-0.40357,1.9964,291.3
uWaveGestureLibrary_Z,centroid4,0.76484,2.5044,210.1
uWaveGestureLibrary_Z,centroid5,-0.083516,2.1664,229.4
uWaveGestureLibrary_Z,centroid6,2.4,3.0221,172.9
Worms,centroid1,-0.0054945,2.1403,182.1
Worms,centroid2,0.47552,2.4113,136.2
Worms,centroid3,0.79021,2.4281,131.7
Worms,centroid4,1.5956,2.7789,191.2
Worms,centroid5,1.4121,2.641,156.3
WormsTwoClass,centroid1,-0.40879,2.0044,236.8
WormsTwoClass,centroid2,-0.68531,1.8984,152.8
